mnist,2,5,105.400571,"(16.473984, 174.76673889160156)","(23.518028, 167.0941619873047)","(29.128361, 160.3926544189453)","(34.408837, 154.11407470703125)","(38.70158, 148.15289306640625)","(46.28531, 142.4928741455078)","(51.488255, 137.12164306640625)","(56.490471, 132.02830505371094)","(61.909415, 127.20603942871094)","(68.396998, 122.6467514038086)","(73.51671, 118.34941864013672)","(77.412343, 114.29495239257812)","(83.748478, 110.46812438964844)","(88.770273, 106.86083984375)","(95.336434, 103.45475769042969)","(101.515128, 100.24110412597656)","(105.400508, 97.20911407470703)"
mnist,2,5,104.527519,"(17.586411, 174.76673889160156)","(22.245536, 167.09410095214844)","(28.262169, 160.39254760742188)","(32.602898, 154.11402893066406)","(39.577475, 148.1529541015625)","(44.677748, 142.4927520751953)","(50.462089, 137.12173461914062)","(56.864982, 132.0283203125)","(60.955436, 127.20608520507812)","(66.384309, 122.64706420898438)","(71.877023, 118.34942626953125)","(78.697342, 114.29479217529297)","(83.621918, 110.46818542480469)","(88.320346, 106.86106872558594)","(93.213106, 103.45475006103516)","(99.183004, 100.24138641357422)","(104.527448, 97.20903778076172)"
mnist,2,6,102.013528,"(19.31844, 174.75640869140625)","(24.700469, 167.0469512939453)","(30.098291, 160.3150177001953)","(35.533252, 154.01181030273438)","(41.075503, 148.02728271484375)","(46.536002, 142.3452911376953)","(52.091745, 136.95359802246094)","(57.605643, 131.84092712402344)","(63.162019, 127.00122833251953)","(68.941861, 122.42776489257812)","(74.227658, 118.11531066894531)","(79.976545, 114.04989624023438)","(85.879422, 110.21165466308594)","(91.037243, 106.59312438964844)","(97.412917, 103.17973327636719)","(102.013467, 99.95771789550781)"
mnist,2,6,102.613399,"(20.65076, 174.7564239501953)","(26.394397, 167.04698181152344)","(31.704766, 160.31500244140625)","(37.26502, 154.0116424560547)","(42.543328, 148.02728271484375)","(48.244063, 142.34523010253906)","(53.436677, 136.9536895751953)","(59.728643, 131.8408660888672)","(64.871781, 127.00111389160156)","(70.835843, 122.42779541015625)","(75.991439, 118.11536407470703)","(81.601112, 114.04993438720703)","(87.126741, 110.21167755126953)","(92.868848, 106.59296417236328)","(98.208652, 103.17974090576172)","(102.613341, 99.95794677734375)"
mnist,2,7,131.09432,"(24.363342, 174.77194213867188)","(30.878436, 167.08009338378906)","(37.589079, 160.3664093017578)","(44.621591, 154.08079528808594)","(51.346171, 148.11260986328125)","(57.789982, 142.4458770751953)","(64.882518, 137.0679168701172)","(71.577054, 131.96949768066406)","(78.037855, 127.14277648925781)","(84.852571, 122.57902526855469)","(91.602503, 118.27749633789062)","(96.937895, 114.22136688232422)","(103.726603, 110.39246368408203)","(110.556953, 106.7814712524414)","(117.36367, 103.37422943115234)","(124.223118, 100.15918731689453)","(131.094241, 97.12628173828125)"
mnist,2,7,132.437621,"(24.013449, 174.77194213867188)","(30.973278, 167.0801239013672)","(38.246936, 160.36647033691406)","(42.805492, 154.0808868408203)","(50.036912, 148.11248779296875)","(56.158415, 142.4459991455078)","(64.699106, 137.06784057617188)","(72.307216, 131.96934509277344)","(78.611406, 127.14266204833984)","(85.455775, 122.57907104492188)","(92.651781, 118.27763366699219)","(99.525188, 114.22139739990234)","(106.73794, 110.39240264892578)","(113.466222, 106.78133392333984)","(120.534422, 103.3738021850586)","(127.116948, 100.15929412841797)","(132.43754, 97.12638854980469)"
mnist,2,8,151.299197,"(34.990199, 174.7493438720703)","(40.490091, 167.01576232910156)","(49.030193, 160.26849365234375)","(56.845777, 153.9526824951172)","(64.933098, 147.9569854736328)","(73.01863, 142.26712036132812)","(81.257139, 136.86656188964844)","(89.845047, 131.74929809570312)","(96.242756, 126.90180206298828)","(102.927317, 122.32444763183594)","(110.835607, 118.00598907470703)","(118.874047, 113.93887329101562)","(126.998286, 110.09890747070312)","(135.059142, 106.47779083251953)","(143.065005, 103.06322479248047)","(151.299122, 99.84176635742188)"
mnist,2,8,150.630093,"(29.973916, 174.7493438720703)","(38.538364, 167.0156707763672)","(46.772781, 160.26861572265625)","(54.9773, 153.95291137695312)","(63.083862, 147.9571075439453)","(71.096759, 142.26719665527344)","(78.66951, 136.86663818359375)","(87.353652, 131.74913024902344)","(95.574328, 126.90199279785156)","(103.480915, 122.3244400024414)","(111.548971, 118.00617218017578)","(119.177184, 113.93863677978516)","(127.733101, 110.09881591796875)","(135.791772, 106.47763061523438)","(143.989196, 103.06351470947266)","(150.630023, 99.84174346923828)"
mnist,3,1,73.206229,"(7.699265, 174.75955200195312)","(11.758577, 167.06454467773438)","(15.846104, 160.3446044921875)","(19.929252, 154.0523223876953)","(24.051421, 148.07887268066406)","(28.128714, 142.4075469970703)","(32.214081, 137.0263671875)","(36.303444, 131.92196655273438)","(40.414553, 127.09063720703125)","(44.512943, 122.52210235595703)","(48.629768, 118.21923828125)","(52.742322, 114.16018676757812)","(56.831184, 110.32853698730469)","(60.939539, 106.71968078613281)","(65.032276, 103.30677032470703)","(69.126852, 100.09099578857422)","(73.206173, 97.05375671386719)"
mnist,3,1,72.221426,"(7.645433, 174.7594757080078)","(11.659035, 167.06442260742188)","(15.711657, 160.3446044921875)","(19.765512, 154.05242919921875)","(23.821619, 148.07899475097656)","(27.848919, 142.40753173828125)","(31.844618, 137.0263671875)","(35.868622, 131.9219512939453)","(39.903773, 127.09060668945312)","(43.95103, 122.52201080322266)","(47.973721, 118.21939849853516)","(52.055558, 114.16015625)","(56.133524, 110.3284912109375)","(60.130019, 106.71995544433594)","(64.17651, 103.30677795410156)","(68.217456, 100.09114837646484)","(72.221368, 97.05378723144531)"
